,loss,score_accuracy,score_distance,val_loss,val_score_accuracy,val_score_distance
0,0.6001372337341309,0.21080602705478668,1.201948642730713,0.5737911462783813,0.21908126771450043,1.1837456226348877
1,0.5527017116546631,0.21346324682235718,1.170947790145874,0.537076473236084,0.25088340044021606,1.0918728113174438
2,0.49629053473472595,0.2568644881248474,1.011514663696289,0.5250965356826782,0.30035334825515747,1.028268575668335
3,0.47075560688972473,0.2754650115966797,0.9557130336761475,0.49942314624786377,0.27561837434768677,1.0106006860733032
4,0.425990492105484,0.3312666118144989,0.8591673970222473,0.534796416759491,0.2473498284816742,1.0388692617416382
5,0.3928489089012146,0.35783880949020386,0.7953941822052002,0.49799489974975586,0.3462897539138794,0.9222614765167236
6,0.3670986592769623,0.37732505798339844,0.7511071562767029,0.4792035222053528,0.32862189412117004,0.9187279343605042
7,0.33393868803977966,0.42692649364471436,0.6829051971435547,0.4836219251155853,0.3462897539138794,0.8869258165359497
8,0.304303377866745,0.48981398344039917,0.596102774143219,0.4848364293575287,0.33922260999679565,0.8939929604530334
9,0.28002044558525085,0.5190433859825134,0.5580159425735474,0.49046650528907776,0.3710247278213501,0.851590096950531
10,0.2554032504558563,0.567759096622467,0.49069973826408386,0.5364764928817749,0.3710247278213501,0.8727915287017822
11,0.22370539605617523,0.6164747476577759,0.43666961789131165,0.5470066070556641,0.3816254436969757,0.8869258165359497
12,0.20483195781707764,0.6554473042488098,0.3923826515674591,0.5918686985969543,0.3710247278213501,0.9081271886825562
13,0.17552730441093445,0.6961913108825684,0.3365810513496399,0.6092587113380432,0.3816254436969757,0.8551236987113953
14,0.1504060924053192,0.7466784715652466,0.2772364914417267,0.6419046521186829,0.41342756152153015,0.851590096950531
15,0.11962422728538513,0.8051372766494751,0.21523472666740417,0.7422789335250854,0.37455829977989197,0.8833922147750854
16,0.1044594794511795,0.8317095041275024,0.18511956930160522,0.7593002319335938,0.42402827739715576,0.8869258165359497
17,0.08856550604104996,0.8627103567123413,0.14703276753425598,0.8573834896087646,0.416961133480072,0.8657243847846985
18,0.0816931501030922,0.8751107454299927,0.1355181634426117,0.8833229541778564,0.4204947054386139,0.8586572408676147
19,0.06736447662115097,0.9016829133033752,0.10717449337244034,0.9602298736572266,0.4310953915119171,0.9010600447654724
20,0.05321003124117851,0.9149690270423889,0.09123117476701736,0.9774497747421265,0.40282684564590454,0.879858672618866
21,0.04051344841718674,0.9486271142959595,0.057573072612285614,1.1216446161270142,0.4098939895629883,0.8975265026092529
22,0.036429453641176224,0.9627989530563354,0.042515501379966736,1.1201300621032715,0.42756184935569763,0.9116607904434204
23,0.02751319482922554,0.9725420475006104,0.03365810588002205,1.2084898948669434,0.40282684564590454,0.8975265026092529
24,0.025719409808516502,0.9689990878105164,0.037201061844825745,1.2486158609390259,0.42756184935569763,0.8763250708580017
25,0.020753413438796997,0.9831709265708923,0.022143490612506866,1.3572311401367188,0.44876325130462646,0.8904593586921692
26,0.019564785063266754,0.9813994765281677,0.024800708517432213,1.3561509847640991,0.42402827739715576,0.8657243847846985
27,0.015964267775416374,0.9840567111968994,0.01948627084493637,1.4520533084869385,0.434628963470459,0.9010600447654724
28,0.014294915832579136,0.9884853959083557,0.018600530922412872,1.467168927192688,0.42756184935569763,0.879858672618866
