,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Gwarancja dealerska (w cenie),Kraj pochodzenia,Bezwypadkowy,Stan,Numer rejestracyjny pojazdu,Pierwszy właściciel,Rodzaj koloru,Serwisowany w ASO,Zarejestrowany w Polsce,Pierwsza rejestracja,Tuning,Uszkodzony,VAT marża,Okres gwarancji producenta,VIN,lub do (przebieg km)
274,Osoby prywatnej,Motocykle,Kawasaki,Z,2010,44 328 km,748 cm3,34 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Inny kolor,,,,,,Tak,Używane,,Tak,Perłowy,,Tak,01/04/2010,,,,,,
275,Osoby prywatnej,Motocykle,Piaggio,Vespa,2017,3 800 km,125 cm3,8 KM,,Czterosuwowy,Benzyna,Automatyczna,Skuter,Czarny,,,,,Polska,Tak,Używane,WY 1017,Tak,Metalik,Tak,Tak,,,,,,,
276,Firmy,Motocykle,BMW,R,2005,43 000 km,1 200 cm3,109 KM,Wał kardana,,Benzyna,Manualna,Turystyczny,Srebrny,Tak,,,3 miesięcy,Niemcy,Tak,Używane,,Tak,Metalik,Tak,,,,,Tak,,,
277,Firmy,Motocykle,Moto Guzzi,V11,2000,60 000 km,1 100 cm3,91 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Naked,Złoty,Tak,,,,Niemcy,Tak,Używane,,,Metalik,Tak,,,,,Tak,,,
278,Firmy,Motocykle,Yamaha,Road Star,2006,15 000 km,1 700 cm3,78 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Srebrny,,Tak,,,Stany Zjednoczone,,Używane,,,Metalik,,,,,,,,,
279,Osoby prywatnej,Motocykle,Yamaha,Virago,1994,73 800 km,749 cm3,55 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Zielony,,,,,Niemcy,,Używane,,,Metalik,,,,,,,,,
280,Osoby prywatnej,Motocykle,BMW,K,2009,31 000 km,1 300 cm3,160 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Niebieski,,,,,,Tak,Używane,,,Metalik,Tak,Tak,,,,,,,
281,Osoby prywatnej,Motocykle,Honda,VF,1993,46 300 km,748 cm3,88 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,,,Używane,,,Metalik,,Tak,,,,,,,
282,Osoby prywatnej,Motocykle,Honda,Hornet,2003,30 937 km,600 cm3,98 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Włochy,Tak,Używane,,,Metalik,,Tak,07/08/2003,,,,,,
283,Osoby prywatnej,Motocykle,Suzuki,GS,1982,59 771 km,395 cm3,27 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,,,Używane,PGS2J69,,Metalik,,Tak,01/04/1982,,,,,,
284,Firmy,Motocykle,Inny,Inny,2022,1 km,125 cm3,14 KM,Łańcuch,Czterosuwowy,Benzyna,Półautomatyczna,Quad,Czerwony,,Tak,,,Niemcy,Tak,Nowe,,Tak,Matowy,,,,,,,,,
285,Osoby prywatnej,Motocykle,Suzuki,VL 800 Volusia - Boulevard C50,2008,19 600 km,800 cm3,,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Niebieski,,,,,,,Używane,,,Metalik,,,,,,,,,
286,Osoby prywatnej,Motocykle,Kymco,Agility,2016,13 765 km,50 cm3,,,Czterosuwowy,Benzyna,,Skuter,Biały,,,,,,,Używane,,,,,,,,,,,,
287,Firmy,Motocykle,KXD,Inny,2022,1 km,125 cm3,13 KM,Łańcuch,Czterosuwowy,Benzyna,Półautomatyczna,Quad,Niebieski,,Tak,,,Niemcy,Tak,Nowe,,,Perłowy,,,,,,,,,
