,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Gwarancja dealerska (w cenie),Kraj pochodzenia,Bezwypadkowy,Stan,Numer rejestracyjny pojazdu,Pierwszy właściciel,Rodzaj koloru,Serwisowany w ASO,Zarejestrowany w Polsce,Pierwsza rejestracja,Tuning,Uszkodzony,VAT marża,Okres gwarancji producenta,VIN,lub do (przebieg km)
357,Osoby prywatnej,Motocykle,Suzuki,GSX-R,2006,42 500 km,599 cm3,125 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Niebieski,,,,,,,Używane,,,,,Tak,,,,,,,
358,Firmy,Motocykle,Peugeot,Satelis,2012,52 327 km,125 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,,,,,Francja,,Używane,,,,,,,,Tak,Tak,,,
359,Firmy,Motocykle,Polaris,Ranger EV,2010,5 016 km,455 cm3,14 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Quad,Czerwony,,,,,Francja,,Używane,,,,,,,,Tak,Tak,,,
360,Firmy,Motocykle,CF Moto,Inny,2022,1 km,1 000 cm3,80 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Sportowy,Inny kolor,Tak,Tak,,,,Tak,Nowe,,,,,,,,,,,,
361,Firmy,Motocykle,Aprilia,Shiver,2013,50 000 km,750 cm3,95 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czerwony,,,,,Francja,,Używane,,,,,,,,Tak,Tak,,,
362,Firmy,Motocykle,Kawasaki,Z,2020,8 147 km,399 cm3,33 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Francja,,Używane,,,Metalik,,,,,Tak,Tak,,,
363,Osoby prywatnej,Motocykle,Honda,VT,1985,58 000 km,,,,,Benzyna,,Chopper,Żółty,,,,,,,Używane,,,,,,,,,,,,
364,Osoby prywatnej,Motocykle,Honda,VFR,2014,23 000 km,,,,Czterosuwowy,Benzyna,,Turystyczny,Czerwony,,,,,Polska,Tak,Używane,GDAC44M,,,Tak,,,,,,,,
365,Osoby prywatnej,Motocykle,Harley-Davidson,Sportster,2008,10 000 km,883 cm3,53 KM,Pas napędowy,,Benzyna,Manualna,Chopper,Czarny,,,,,Stany Zjednoczone,,Używane,,Tak,Metalik,,Tak,,,,,,,
366,Osoby prywatnej,Motocykle,Honda,CBR,2013,20 300 km,999 cm3,178 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Biały,,,,,,,Używane,LLB30N7,,Metalik,,Tak,,,,,,,
367,Firmy,Motocykle,Romet,Inny,2022,1 km,49 cm3,3 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Motorower,Inny kolor,Tak,,,,,Tak,Nowe,,,,,,,,,,,,
368,Firmy,Motocykle,BMW,K,2003,51 525 km,1 171 cm3,130 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,Tak,,,3 miesięcy,,Tak,Używane,RT705X,,Metalik,,Tak,26/09/2003,,,Tak,,,
369,Firmy,Motocykle,Honda,NSS,2021,1 km,750 cm3,59 KM,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Skuter,Szary,,,,,,Tak,Nowe,,,Matowy,,,,,,,,,
370,Firmy,Motocykle,Honda,NSS,2021,1 km,350 cm3,29 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Niebieski,Tak,Tak,,,,Tak,Nowe,,,Matowy,,,,,,,,,
371,Firmy,Motocykle,CF Moto,Inny,2021,1 km,500 cm3,40 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Inny kolor,Tak,Tak,,,,Tak,Nowe,,,,,,,,,,,,
372,Firmy,Motocykle,Ducati,Inny,2022,1 km,1 103 cm3,215 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,Tak,Tak,,,Polska,Tak,Nowe,,,,,,,,,,,,
373,Firmy,Motocykle,Ducati,Ds 1000,2008,67 000 km,992 cm3,84 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czerwony,,,,,Włochy,Tak,Używane,,,Metalik,Tak,,,,,,,,
374,Osoby prywatnej,Motocykle,Honda,Shadow,1998,47 600 km,745 cm3,45 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Inny kolor,,,,,,Tak,Używane,XXX,,Metalik,,Tak,12/05/1998,,,,,,
375,Osoby prywatnej,Motocykle,Moto Guzzi,V7,2020,6 380 km,750 cm3,55 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Polska,Tak,Używane,,Tak,Perłowy,Tak,Tak,,,,,,,
376,Osoby prywatnej,Motocykle,Yamaha,Drag Star,2000,14 850 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,,Chopper,Czarny,,,,,,,Używane,,,Metalik,,,,,,,,,
377,Firmy,Motocykle,Honda,NSS,2021,1 km,125 cm3,15 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Niebieski,Tak,Tak,,,,Tak,Nowe,,,Matowy,,,,,,,,,
378,Osoby prywatnej,Motocykle,BMW,GS,2010,112 000 km,1 200 cm3,110 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Biały,Tak,,,,Belgia,Tak,Używane,,,Perłowy,Tak,Tak,02/07/2010,,,,,,
379,Firmy,Motocykle,BMW,S,2017,16 429 km,999 cm3,198 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Szary,Tak,,,,,Tak,Używane,W2 MWMWM,,Metalik,,Tak,08/02/2017,,,Tak,,,
380,Firmy,Motocykle,Suzuki,Bandit,2006,34 000 km,1 200 cm3,98 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Srebrny,Tak,,,,Francja,,Używane,,,Metalik,,,,,,Tak,,,
381,Osoby prywatnej,Motocykle,Kawasaki,ER,2013,29 000 km,600 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,,,Tak,Używane,,,Perłowy,,,,,,,,,
382,Osoby prywatnej,Motocykle,Honda,X8R,2000,19 247 km,49 cm3,4 KM,Pas napędowy,Dwusuwowy,Benzyna,Bezstopniowa,Skuter,Czerwony,,,,,,,Używane,WOR30HX,,,,Tak,07/04/2000,,,,,,
383,Osoby prywatnej,Motocykle,Piaggio,Inny,2016,8 500 km,125 cm3,12 KM,,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,,,,,Francja,,Używane,,,Metalik,,Tak,,,,,,,8 500 km
384,Osoby prywatnej,Motocykle,Daelim,VL,2000,56 000 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Niemcy,,Używane,,,,,Tak,,,,,,,
385,Firmy,Motocykle,Honda,Shadow,1999,15 500 km,125 cm3,15 KM,,,Benzyna,,Chopper,Czarny,Tak,,,,Austria,Tak,Używane,,,,,,,,,Tak,,,
386,Osoby prywatnej,Motocykle,Honda,VT,2008,14 000 km,750 cm3,45 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Czerwony,,Tak,,,Kanada,Tak,Używane,,Tak,Metalik,,,,,,,,,
387,Osoby prywatnej,Motocykle,Kawasaki,ZX,2019,5 400 km,600 cm3,130 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Zielony,,,,,,,Używane,,Tak,Metalik,,,,,,,,,
388,Firmy,Motocykle,Harley-Davidson,Road King,2020,1 613 km,1 868 cm3,95 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,Polska,Tak,Używane,,Tak,Perłowy,Tak,Tak,20/07/2020,Tak,,Tak,20/07/2022,,
389,Osoby prywatnej,Motocykle,Honda,TRX,2002,1 234 km,450 cm3,30 KM,Wał kardana,Czterosuwowy,Benzyna,Półautomatyczna,Quad,Czerwony,,,,,Polska,Tak,Używane,KK HONDA TRX,,Metalik,Tak,,,,,,,,
390,Osoby prywatnej,Motocykle,Honda,CB,2018,20 000 km,998 cm3,150 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,,,Używane,,,,,,,,Tak,,,,
391,Osoby prywatnej,Motocykle,Dniepr,K-750,1988,50 883 km,750 cm3,38 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Ukraina,Tak,Używane,,Tak,Matowy,,Tak,21/04/1988,,,,,,
392,Osoby prywatnej,Motocykle,Kymco,Grand Dink,2006,27 000 km,125 cm3,11 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Szary,,,,,Holandia,Tak,Używane,CW4789,,Metalik,,Tak,20/12/2006,,,,,,
393,Osoby prywatnej,Motocykle,Suzuki,Bandit,2008,27 000 km,650 cm3,80 KM,,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,,,Używane,Sgl K61M,,,,Tak,08/07/2008,,,,,,
394,Osoby prywatnej,Motocykle,Honda,NTV,2006,87 880 km,680 cm3,65 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,,,,,,Używane,WSC2CL9,,Metalik,,Tak,07/08/2006,,,,,,
395,Osoby prywatnej,Motocykle,Kawasaki,ZX,1994,62 754 km,900 cm3,,,,Benzyna,,Sportowy,Czerwony,,,,,,,Używane,,,,,,,,,,,,
396,Firmy,Motocykle,BMW,F,2014,12 000 km,800 cm3,80 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,,,,Niemcy,Tak,Używane,,,,,Tak,,,,Tak,,,
397,Firmy,Motocykle,Suzuki,GSX-F - Katana,1993,35 000 km,750 cm3,100 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Inny kolor,,,,,Niemcy,Tak,Używane,,,Metalik,,,,,,,,,
398,Firmy,Motocykle,BMW,K,2001,65 000 km,1 200 cm3,100 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czerwony,,,,,Irlandia,Tak,Używane,,,Metalik,,,,,,,,,
399,Firmy,Motocykle,Suzuki,VZ,1997,29 000 km,800 cm3,50 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Zielony,,,,,Niemcy,,Używane,,,Perłowy,,Tak,,,,,,,
400,Firmy,Motocykle,BMW,R,2002,135 000 km,1 150 cm3,100 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Inny kolor,,,,,,,Używane,,,Metalik,,,,,,,,,
401,Firmy,Motocykle,Honda,CBF,2007,52 000 km,1 000 cm3,130 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Inny kolor,,,,,Niemcy,Tak,Używane,,,Metalik,,Tak,,,,,,,
402,Osoby prywatnej,Motocykle,Yamaha,XVS,2007,36 291 km,1 304 cm3,70 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Niebieski,,,,,,,Używane,DTR40TW,,Perłowy,,Tak,21/12/2007,,,,,,
403,Osoby prywatnej,Motocykle,Honda,CBR,1990,6 100 km,998 cm3,99 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czerwony,,,,,Niemcy,Tak,Używane,,,Metalik,,Tak,02/07/1990,,,,,,
404,Firmy,Motocykle,Honda,NSS,2016,48 000 km,125 cm3,15 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Biały,,,,,Wielka Brytania,,Używane,,,Matowy,,,,,,,,,
405,Osoby prywatnej,Motocykle,Suzuki,GSX,2005,46 730 km,1 402 cm3,106 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Inny kolor,,,,,,,Używane,,,,,Tak,20/10/2005,,,,,,
406,Osoby prywatnej,Motocykle,BMW,Adventure,2017,31 500 km,,,,,Benzyna,,Turystyczny,Szary,,,,,,,Używane,,,,,,,,,,,,
407,Osoby prywatnej,Motocykle,Suzuki,GSX-F - Katana,2001,55 820 km,750 cm3,92 KM,Łańcuch,,Benzyna,,Sportowy,Czarny,,,,,,,Używane,KNSVS75,,,,Tak,,,,,,,
408,Firmy,Motocykle,Suzuki,Marauder,2005,21 834 km,249 cm3,20 KM,Łańcuch,Czterosuwowy,Benzyna,,Chopper,Czarny,Tak,,,3 miesięcy,Włochy,Tak,Używane,,,Metalik,,,20/05/2005,,,Tak,,,
409,Firmy,Motocykle,Honda,CB,2000,87 277 km,1 137 cm3,136 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Niemcy,,Używane,HR JH64,,,,,14/04/2000,,,Tak,,,
410,Firmy,Motocykle,Yamaha,Virago,1998,8 000 km,,,,,Benzyna,,Chopper,Inny kolor,,,,,,Tak,Używane,,,,,,,,,Tak,,,
411,Firmy,Motocykle,Yamaha,XJ,1997,36 901 km,599 cm3,51 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czerwony,,,,,,,Używane,FF I48,,,,,16/05/1997,,,Tak,,,
412,Osoby prywatnej,Motocykle,Honda,CBF,2017,17 000 km,125 cm3,14 KM,Łańcuch,,Benzyna,Manualna,Naked,Biały,,,,,,,Używane,,,Perłowy,,,,,,,,,
413,Osoby prywatnej,Motocykle,Honda,CB,2021,2 250 km,471 cm3,48 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czerwony,,Tak,,,Polska,Tak,Używane,WN5966,Tak,,,Tak,06/09/2021,,,,,,
414,Firmy,Motocykle,Honda,VFR,2017,60 000 km,,,,,Benzyna,,Turystyczny,Czerwony,,,,,,Tak,Używane,,Tak,,,,,,,Tak,,,
415,Firmy,Motocykle,Honda,Shadow,2006,52 000 km,,,,,Benzyna,,Chopper,Czarny,,,,,,Tak,Używane,,,,,,,,,Tak,,,
416,Firmy,Motocykle,Yamaha,Tracer,2022,1 km,890 cm3,115 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czerwony,Tak,Tak,Tak,24 miesięcy,Polska,Tak,Nowe,,,Matowy,,,,,,,,,
417,Osoby prywatnej,Motocykle,KTM,LC 8,2018,25 000 km,1 290 cm3,160 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Biały,,,,,,,Używane,LO68CHL,,Perłowy,,,31/01/2019,,,Tak,,,
418,Firmy,Motocykle,Barton,Inny,2022,1 km,125 cm3,12 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Inny kolor,Tak,Tak,,,,Tak,Nowe,,,,,,,,,,,,
419,Osoby prywatnej,Motocykle,CF Moto,C-Force,2015,7 000 km,800 cm3,65 KM,Wał kardana,Dwusuwowy,Benzyna,Automatyczna,Quad,Inny kolor,,,,,Niemcy,Tak,Używane,KNST5HE,,Metalik,Tak,Tak,,,,,,,
420,Osoby prywatnej,Motocykle,BMW,GS,2018,14 000 km,1 200 cm3,150 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,,,,Polska,,Używane,,,Metalik,,,,,,,,,
421,Firmy,Motocykle,Yamaha,Majesty,2010,53 567 km,395 cm3,34 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Szary,Tak,,,3 miesięcy,Włochy,Tak,Używane,,,Metalik,,,12/08/2010,,,Tak,,,
422,Osoby prywatnej,Motocykle,Yamaha,R6,2002,30 000 km,599 cm3,120 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Niebieski,,,,,,,Używane,,,Metalik,,Tak,,,,,,,
423,Osoby prywatnej,Motocykle,Yamaha,XV,1990,57 925 km,535 cm3,27 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Niemcy,,Używane,PP090R,,Matowy,,Tak,25/04/1990,Tak,,,,,
424,Firmy,Motocykle,Harley-Davidson,Heritage,2016,776 km,1 690 cm3,88 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Stany Zjednoczone,,Używane,,,Perłowy,,,01/01/2016,Tak,,Tak,,,
425,Firmy,Motocykle,Zontes,125 U,2022,1 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czerwony,Tak,Tak,Tak,24 miesięcy,Polska,Tak,Nowe,,,Metalik,,,,,,,,,
426,Osoby prywatnej,Motocykle,Kawasaki,Vulcan,2002,61 992 km,800 cm3,,,,Benzyna,Manualna,Cruiser,Czerwony,,,,,,Tak,Używane,PCT 65U4,,,,Tak,25/03/2010,,,,,,
427,Firmy,Motocykle,Honda,CB,1978,20 374 km,836 cm3,102 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Niemcy,,Używane,,,Perłowy,,Tak,30/04/2012,Tak,,Tak,,,
428,Firmy,Motocykle,Suzuki,GS,1979,68 390 km,1 100 cm3,100 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Niemcy,Tak,Używane,,,Matowy,,Tak,01/02/1990,Tak,,Tak,,,
429,Firmy,Motocykle,Kymco,MyRoad,2014,30 148 km,700 cm3,59 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Biały,Tak,,,3 miesięcy,Włochy,Tak,Używane,,,Metalik,,,11/04/2014,,,Tak,,,
430,Firmy,Motocykle,Peugeot,Tweet,2021,1 km,49 cm3,4 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,Tak,Tak,Tak,24 miesięcy,Francja,Tak,Nowe,,,,,,,,,,,,
431,Osoby prywatnej,Motocykle,Peugeot,Satelis,2008,50 775 km,,,,,Benzyna,,Skuter,Bordowy,,,,,,,Używane,,,,,,,,,Tak,,,
432,Firmy,Motocykle,Honda,SH,2016,27 071 km,300 cm3,25 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Szary,Tak,,,3 miesięcy,Włochy,Tak,Używane,,,Metalik,,,27/04/2016,,,Tak,,,
433,Osoby prywatnej,Motocykle,Yamaha,TDM,1993,82 000 km,850 cm3,78 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,,,,Niemcy,Tak,Używane,,,Metalik,,Tak,,,,,,,
434,Osoby prywatnej,Motocykle,BMW,GS,2014,20 000 km,798 cm3,90 KM,Łańcuch,,Benzyna,Manualna,Enduro,Niebieski,,,,,Polska,,Używane,,Tak,,Tak,Tak,,,Tak,,,,
435,Osoby prywatnej,Motocykle,Peugeot,Satelis,2008,37 304 km,,,,,Benzyna,,Skuter,Czarny,,,,,,,Używane,,,,,,,,,Tak,,,
436,Osoby prywatnej,Motocykle,Yamaha,FZ,2004,30 000 km,600 cm3,98 KM,,Czterosuwowy,Benzyna,,Sportowy,Niebieski,,,,,,Tak,Używane,,,,,Tak,,,,,,,
437,Osoby prywatnej,Motocykle,BMW,GS,2008,52 000 km,800 cm3,100 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Żółty,,,,,,,Używane,,,Metalik,,,,,,,,,
438,Firmy,Motocykle,Suzuki,Bandit,2006,32 282 km,650 cm3,77 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Włochy,Tak,Używane,,,Metalik,Tak,,,,,Tak,,,
439,Firmy,Motocykle,Suzuki,GSX-F - Katana,2005,46 924 km,750 cm3,92 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Srebrny,Tak,,,3 miesięcy,Włochy,Tak,Używane,,Tak,Metalik,,,06/04/2005,,,Tak,,,
440,Firmy,Motocykle,Honda,CB,2016,15 762 km,500 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,Tak,,,,,Tak,Używane,,,Matowy,,Tak,,,,Tak,,,
441,Firmy,Motocykle,Peugeot,Kisbee,2021,1 km,50 cm3,3 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Szary,,Tak,Tak,,,Tak,Nowe,,,Matowy,,,,,,,,,
442,Firmy,Motocykle,Zontes,125 U1,2022,1 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Niebieski,Tak,Tak,Tak,24 miesięcy,Polska,Tak,Nowe,,,Metalik,,,,,,,,,
443,Firmy,Motocykle,Zontes,125 G1 Aluminium,2022,1 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,Tak,Tak,Tak,24 miesięcy,Polska,Tak,Nowe,,,Metalik,,,,,,,,,
444,Osoby prywatnej,Motocykle,Can-Am,Outlander,2015,9 337 km,450 cm3,38 KM,Pas napędowy,Czterosuwowy,Benzyna,,Quad,Czerwony,,,,,,,Używane,,,,,,,,,,,3JBLJAR21gj000105,
445,Firmy,Motocykle,Peugeot,Speedfight,2021,1 km,50 cm3,3 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Czerwony,Tak,Tak,Tak,,,Tak,Nowe,,,,,,,,,,,,
446,Firmy,Motocykle,Peugeot,Tweet,2021,1 km,50 cm3,3 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Czarny,Tak,Tak,Tak,,,Tak,Nowe,,,,,,,,,,,,
447,Firmy,Motocykle,Peugeot,Tweet,2021,1 km,125 cm3,15 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,Tak,Tak,Tak,24 miesięcy,Francja,Tak,Nowe,,,,,,,,,,,,
