,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Bezwypadkowy,Stan,price,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Rodzaj koloru,Pierwsza rejestracja,Serwisowany w ASO,Pierwszy właściciel,Gwarancja dealerska (w cenie),Tuning,VAT marża,Okres gwarancji producenta,Liczba pozostałych rat,Miesięczna rata,Opłata początkowa,Wartość wykupu,lub do (przebieg km),Uszkodzony,VIN,Zarejestrowany jako zabytek
0,Firmy,Motocykle,Kymco,MXU,2021,1 km,695 cm3,40 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Czarny,Tak,Tak,Tak,Inny,Tak,Nowe,45900,,,,,,,,,,,,,,,,,,
1,Firmy,Motocykle,Segway,Fugleman UT10,2021,1 km,1 000 cm3,105 KM,Wał kardana,Czterosuwowy,Benzyna,Bezstopniowa,Quad,Inny kolor,Tak,Tak,Tak,,Tak,Nowe,76990,,,,,,,,,,,,,,,,,,
2,Osoby prywatnej,Motocykle,Yamaha,FZ,2010,33 668 km,998 cm3,150 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,Francja,,Używane,20500,PK 6785,Tak,,,,,,,,,,,,,,,,
3,Osoby prywatnej,Motocykle,Ducati,Multistrada,2010,56 000 km,,,,,Benzyna,,Turystyczny,Biały,,,,,,Używane,32000,,,Metalik,,,,,,,,,,,,,,,
4,Osoby prywatnej,Motocykle,Kawasaki,ZX,2007,16 000 km,250 cm3,,,,Benzyna,,Sportowy,Niebieski,,,,,Tak,Używane,4999,,Tak,Metalik,,,,,,,,,,,,,,,
5,Osoby prywatnej,Motocykle,Inny,Inny,2019,3 000 km,,,,Elektryczny,Elektryczny,,Skuter,Inny kolor,,Tak,,,Tak,Używane,3500,,Tak,Matowy,,,,,,,,,,,,,,,
6,Osoby prywatnej,Motocykle,Honda,XR,2002,10 km,,,,Czterosuwowy,Benzyna,,Krosowy,Czerwony,,,,,,Używane,7500,,,,,,,,,,,,,,,,,,
7,Osoby prywatnej,Motocykle,Honda,NSS,2014,15 550 km,279 cm3,26 KM,,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Biały,,,,Polska,Tak,Używane,14950,WW1421,Tak,,24/06/2015,Tak,,,,,,,,,,,,,
8,Osoby prywatnej,Motocykle,Harley-Davidson,Fat Bob,2018,5 700 km,1 868 cm3,86 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,Stany Zjednoczone,,Używane,71500,,Tak,Perłowy,,,Tak,,,,,,,,,,,,
9,Osoby prywatnej,Motocykle,Harley-Davidson,Sportster,2019,5 080 km,1 200 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,Stany Zjednoczone,,Używane,43900,,Tak,Metalik,,,,,,,,,,,,,,,
10,Firmy,Motocykle,CF Moto,ZForce,2021,,1 000 cm3,80 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Szary,Tak,Tak,Tak,Inny,Tak,Nowe,87900,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
11,Osoby prywatnej,Motocykle,Harley-Davidson,Road Glide,2013,55 000 km,1 700 cm3,88 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Bordowy,,,,Stany Zjednoczone,Tak,Używane,82500,GD25E4,Tak,Perłowy,01/01/2013,,,,Tak,,,,,,,,,,
12,Osoby prywatnej,Motocykle,Honda,NSS,2021,1 800 km,,,,Dwusuwowy,Benzyna,,Skuter,Czerwony,,Tak,,,,Używane,21900,,,,,,,,,,,,,,,,,,
13,Osoby prywatnej,Motocykle,Honda,NX,1996,18 000 km,650 cm3,44 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Biały,,,,Polska,Tak,Używane,7500,GSLKE82,Tak,,01/06/1996,,,,,,,,,,,,,,
14,Osoby prywatnej,Motocykle,Suzuki,Burgman,2009,24 000 km,638 cm3,16 KM,,Czterosuwowy,Benzyna,Automatyczna,Skuter,Czarny,,,,,,Używane,11500,NMR 9A11,Tak,,01/01/2009,,,,,,,,,,,,,,
15,Osoby prywatnej,Motocykle,Honda,Shadow,2003,57 500 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,Tak,,,Niemcy,Tak,Używane,14350,DLUAN23,Tak,Metalik,27/03/2003,Tak,,,,,,,,,,,,,
16,Firmy,Motocykle,Niu,N,2021,1 km,,,,Elektryczny,Elektryczny,,Skuter,Inny kolor,Tak,Tak,,,Tak,Nowe,8999,,,,,,,,,,,,,,,,,,
17,Osoby prywatnej,Motocykle,KTM,LC 8,2014,25 500 km,1 195 cm3,150 KM,Łańcuch,,Benzyna,Manualna,Enduro,Szary,,,,Polska,,Używane,41900,,Tak,,14/04/2016,Tak,,,,,,,,,,,,,
18,Osoby prywatnej,Motocykle,Yamaha,Drag Star,2007,17 700 km,1 100 cm3,,,Czterosuwowy,Benzyna,Manualna,Chopper,Bordowy,,,,Stany Zjednoczone,,Używane,21500,,Tak,Metalik,,,Tak,,,,,,,,,,,,
19,Osoby prywatnej,Motocykle,Suzuki,Burgman,2015,18 475 km,,,,,Benzyna,,Skuter,Czarny,,,,,Tak,Używane,29000,,Tak,Metalik,21/04/2015,,,,,,,,,,,,,,
20,Firmy,Motocykle,Kymco,Agility,2020,1 km,50 cm3,4 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,Tak,Tak,,,Tak,Nowe,8999,,,,,,,,,,,,,,,,,,
21,Osoby prywatnej,Motocykle,Suzuki,SV,2006,77 500 km,,,,Czterosuwowy,Benzyna,,Turystyczny,Niebieski,,,,,,Używane,14000,,,Metalik,,,,,,,,,,,,,,,
22,Firmy,Motocykle,Harley-Davidson,FLH Shovelhead,1981,24 571 km,1 200 cm3,,,Czterosuwowy,Benzyna,,Cruiser,Bordowy,Tak,,,,,Używane,125000,,,,,,,,,Tak,,,,,,,,,
23,Osoby prywatnej,Motocykle,Yamaha,TDR,1997,30 000 km,125 cm3,,Łańcuch,Dwusuwowy,Benzyna,Manualna,Krosowy,Biały,,,,,Tak,Używane,5000,BHA MW90,,Matowy,14/05/1995,,,,,,,,,,,,,,
24,Osoby prywatnej,Motocykle,Aprilia,SR,2014,6 000 km,124 cm3,15 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Biały,,,,Polska,Tak,Używane,11000,WD3359,Tak,,24/06/2015,,,,Tak,,,,,,,,,,
25,Firmy,Motocykle,Kawasaki,Zephyr,1993,68 000 km,750 cm3,72 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Żółty,Tak,,,Niemcy,Tak,Używane,9500,,,Metalik,,,Tak,,,Tak,,,,,,,,,
26,Firmy,Motocykle,Suzuki,Burgman,2009,21 000 km,125 cm3,12 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,Tak,,,Niemcy,Tak,Używane,11500,,,Metalik,,Tak,Tak,,,Tak,,,,,,,,,
27,Osoby prywatnej,Motocykle,BMW,RT,1997,83 000 km,,,,Czterosuwowy,Benzyna,,Turystyczny,Bordowy,,,,,,Używane,5200,,,,,,,,,Tak,,,,,,,,,
28,Osoby prywatnej,Motocykle,Can-Am,Spyder,2018,34 708 km,1 330 cm3,115 KM,Pas napędowy,Czterosuwowy,Benzyna,Półautomatyczna,Turystyczny,Biały,,,,,,Używane,88900,,Tak,Perłowy,,,Tak,,,Tak,,,,,,,,,
29,Osoby prywatnej,Motocykle,Can-Am,Spyder,2018,35 397 km,1 330 cm3,115 KM,Pas napędowy,Czterosuwowy,Benzyna,Półautomatyczna,Turystyczny,Inny kolor,,,,,,Używane,88900,,Tak,,,,Tak,,,Tak,,,,,,,,,
30,Osoby prywatnej,Motocykle,Can-Am,Spyder,2016,2 865 km,1 330 cm3,115 KM,Pas napędowy,Czterosuwowy,Benzyna,Półautomatyczna,Turystyczny,Niebieski,,,,,,Używane,78900,,Tak,,,,Tak,,,Tak,,,,,,,,,
31,Osoby prywatnej,Motocykle,Can-Am,Spyder,2014,44 981 km,1 330 cm3,115 KM,Pas napędowy,Czterosuwowy,Benzyna,Półautomatyczna,Turystyczny,Inny kolor,,,,,,Używane,65800,,Tak,,,,Tak,,,Tak,,,,,,,,,
32,Osoby prywatnej,Motocykle,Yamaha,R6,2005,51 660 km,,,,,Benzyna,Manualna,Sportowy,Czarny,,,,,,Używane,15600,,,,,,,,,,,,,,,,,,
33,Osoby prywatnej,Motocykle,Honda,NSS,2021,3 040 km,745 cm3,59 KM,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,,,,Polska,Tak,Używane,44444,WD428E,Tak,Perłowy,26/04/2021,Tak,Tak,,,,25/04/2025,,,,,,,,
34,Osoby prywatnej,Motocykle,Keeway,Inny,2009,4 900 km,,,,Czterosuwowy,Benzyna,,Skuter,Biały,,,,,,Używane,1300,,,,,,,,,Tak,,,,,,,,,
35,Osoby prywatnej,Motocykle,KTM,EXC,2004,80 km,510 cm3,16 KM,Łańcuch,Czterosuwowy,Benzyna,,Enduro,Inny kolor,,,,,,Używane,19990,,Tak,,20/11/2003,,,,,,,,,,,,,,
36,Osoby prywatnej,Motocykle,Royal Enfield,Inny,2021,237 km,648 cm3,47 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czerwony,,,Tak,Polska,Tak,Używane,2634527,ZS521T,Tak,Metalik,17/03/2022,,Tak,,,,,33,896 PLN,7 000 PLN,300 PLN,,,,
37,Osoby prywatnej,Motocykle,Ducati,Scrambler,2019,3 100 km,803 cm3,73 KM,,,Benzyna,,Naked,Żółty,,,,Polska,Tak,Używane,39500,,,,,,,,,,,,,,,,,,
38,Osoby prywatnej,Motocykle,Kymco,Xciting,2011,6 135 km,498 cm3,38 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Czarny,,,,Polska,Tak,Używane,11200,KR841G,Tak,Metalik,,,Tak,,,,,,,,,,,,
39,Osoby prywatnej,Motocykle,Yamaha,TDR,1998,9 500 km,125 cm3,,Łańcuch,Dwusuwowy,Benzyna,Manualna,Krosowy,Niebieski,,,,Francja,,Używane,4428,,,,,,Tak,,,Tak,,,,,,11 500 km,,,
40,Osoby prywatnej,Motocykle,Honda,CBR,2018,9 600 km,,,,,Benzyna,,Sportowy,Czerwony,,,,,,Używane,57000,,,,,,,,,,,,,,,,,,
41,Osoby prywatnej,Motocykle,Can-Am,Renegade,2019,1 540 km,1 000 cm3,90 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Quad,Żółty,,,,,,Używane,62000,,,,,,,,,,,,,,,,,,
42,Osoby prywatnej,Motocykle,Honda,VF,1985,53 900 km,750 cm3,87 KM,Wał kardana,Czterosuwowy,Benzyna,,Chopper,Bordowy,,,,Belgia,Tak,Używane,10500,,,,,,Tak,,,,,,,,,,,,
43,Osoby prywatnej,Motocykle,Suzuki,GSR,2011,35 000 km,749 cm3,106 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,Francja,,Używane,18000,,Tak,Metalik,27/05/2011,,,,,,,,,,,,,,
44,Osoby prywatnej,Motocykle,Suzuki,Burgman,2006,32 000 km,150 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Czarny,,,,Włochy,Tak,Używane,4100,,,,,,,,,,,,,,,,,,
45,Osoby prywatnej,Motocykle,BMW,GS,2014,17 280 km,798 cm3,75 KM,,,Benzyna,,Turystyczny,Bordowy,,,,Polska,Tak,Używane,32000,,Tak,,28/05/2014,,,,,,,,,,,,,,
46,Firmy,Motocykle,Harley-Davidson,Sportster,2019,6 100 km,1 202 cm3,75 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czerwony,Tak,Tak,,Stany Zjednoczone,,Używane,47900,,Tak,,01/01/2019,,,,,,,,,,,,Tak,,
47,Osoby prywatnej,Motocykle,Yamaha,YZF,2002,44 360 km,998 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Biały,,,,,,Używane,12500,PNTJP80,,,04/11/2017,,,,,,,,,,,,,,
48,Osoby prywatnej,Motocykle,Kawasaki,Z,2017,7 300 km,900 cm3,125 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,Niemcy,Tak,Używane,29000,,Tak,Metalik,05/03/2017,,Tak,,Tak,,,,,,,,,,
49,Osoby prywatnej,Motocykle,Harley-Davidson,Softail,2020,1 300 km,1 746 cm3,87 KM,,Czterosuwowy,Benzyna,,Cruiser,Czarny,,,,Stany Zjednoczone,,Używane,66900,,,Metalik,,,,,,,,,,,,,,,
50,Osoby prywatnej,Motocykle,Suzuki,VS,2002,15 000 km,800 cm3,,Łańcuch,,Benzyna,Manualna,Chopper,Czarny,,,,,,Używane,13999,,,Metalik,,,,,,,,,,,,,,,
51,Osoby prywatnej,Motocykle,Honda,CBR,2016,34 800 km,286 cm3,31 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,,,,Niemcy,Tak,Używane,14900,D1CBR,Tak,Metalik,01/07/2016,,,,,,,,,,,,,,
52,Osoby prywatnej,Motocykle,Honda,NC,2012,18 199 km,670 cm3,48 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Szary,,,,Niemcy,Tak,Używane,19400,RZEXY34,Tak,Metalik,24/04/2012,,,,,,,,,,,,,,
53,Osoby prywatnej,Motocykle,BMW,K,2018,54 000 km,1 600 cm3,160 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,,,Polska,Tak,Używane,78500,,Tak,Metalik,,Tak,Tak,,,,,,,,,,,,
54,Osoby prywatnej,Motocykle,Honda,CBF,2009,38 700 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czerwony,,,,,,Używane,6499,WOT73U4,Tak,Metalik,,,,,,Tak,,,,,,,,,
55,Osoby prywatnej,Motocykle,Suzuki,GS,2004,35 000 km,487 cm3,48 KM,Łańcuch,,Benzyna,Manualna,Naked,Niebieski,,,,,,Używane,4299,PO925Y,,Metalik,21/10/2004,,,,,,,,,,,,,,
56,Osoby prywatnej,Motocykle,Kymco,Downtown,2010,37 000 km,125 cm3,15 KM,,Czterosuwowy,Benzyna,,Skuter,Szary,,,,,,Używane,8200,,,Metalik,,,,,,,,,,,,,,,
57,Osoby prywatnej,Motocykle,Honda,Shadow,2009,13 800 km,745 cm3,45 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,,Używane,22500,SC 950F,,Metalik,14/01/2009,,,,,,,,,,,,,,
58,Osoby prywatnej,Motocykle,Honda,GL,1992,63 347 km,,,,,Benzyna,,Turystyczny,Bordowy,,,,,,Używane,18800,,,,,,,,,,,,,,,,,,
59,Osoby prywatnej,Motocykle,Kawasaki,ZX,2005,59 090 km,636 cm3,130 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,,,,Szwajcaria,Tak,Używane,14500,FZI 7L57,Tak,Metalik,08/04/2005,Tak,Tak,,Tak,,,,,,,,,,
60,Osoby prywatnej,Motocykle,Honda,GL,1990,190 480 km,1 520 cm3,75 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Bordowy,,,,Belgia,Tak,Używane,17700,G0MR15,Tak,Metalik,23/04/1990,,,,,,,,,,,,,,
61,Osoby prywatnej,Motocykle,Junak,Inny,2015,7 664 km,124 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,Polska,Tak,Używane,5200,,Tak,,,,Tak,,,,,,,,,,,,
62,Osoby prywatnej,Motocykle,Ducati,Monster,2015,13 000 km,,,,,Benzyna,,Naked,Biały,,,,,,Używane,29900,,,Matowy,,,,,,,,,,,,,,,
63,Osoby prywatnej,Motocykle,Harley-Davidson,Inny,2021,544 km,1 252 cm3,152 KM,Łańcuch,,Benzyna,Manualna,Turystyczny,Biały,,Tak,,Polska,Tak,Używane,101111,,Tak,Matowy,21/09/2021,Tak,Tak,,,,,,,,,,,,
64,Osoby prywatnej,Motocykle,Dniepr,MT-16,1991,16 835 km,650 cm3,31 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Zielony,,,,,Tak,Używane,15200,,Tak,,27/05/1991,,,,,,,,,,,,,,
65,Osoby prywatnej,Motocykle,BMW,G,2018,12 000 km,313 cm3,34 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,Polska,Tak,Używane,16900,SZA5P48,Tak,Matowy,03/08/2018,Tak,,,Tak,,,,,,,,,,
66,Osoby prywatnej,Motocykle,Honda,CB,2019,5 500 km,649 cm3,95 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,Polska,Tak,Używane,31500,RZ101S,Tak,,05/03/2020,Tak,Tak,,Tak,,,,,,,5 500 km,,,
67,Osoby prywatnej,Motocykle,Suzuki,Bandit,1993,31 400 km,400 cm3,53 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Zielony,,,,,,Używane,6000,GA212M,,Metalik,15/03/1993,,,,,,,,,,,,,,
68,Osoby prywatnej,Motocykle,Yamaha,FJR,2009,64 440 km,1 300 cm3,150 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,,,Francja,,Używane,28000,,Tak,,,,,,,,,,,,,,,,
69,Osoby prywatnej,Motocykle,Piaggio,Vespa,2014,12 526 km,278 cm3,,,,Benzyna,,Skuter,Czarny,,,,,,Używane,10900,,,,,,,,,,,,,,,,,,
70,Osoby prywatnej,Motocykle,Honda,Valkyrie,1998,1 370 km,1 520 cm3,98 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Żółty,,Tak,,Stany Zjednoczone,Tak,Używane,46000,,,Metalik,,,Tak,,,,,,,,,,,,
71,Osoby prywatnej,Motocykle,Aprilia,RS,2010,23 305 km,50 cm3,,Łańcuch,Dwusuwowy,Benzyna,Manualna,Motorower,Biały,,,,,,Używane,3900,lkr6j76,Tak,,14/07/2010,,,,,,,,,,,,,,
72,Osoby prywatnej,Motocykle,Honda,CBF,2011,8 707 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,,,Niemcy,,Używane,7450,OPO A87R,Tak,,17/05/2011,,Tak,,,,,,,,,,,,
73,Osoby prywatnej,Motocykle,Honda,Valkyrie,2002,27 821 km,1 520 cm3,98 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,Tak,,Stany Zjednoczone,Tak,Używane,43000,,,Metalik,,,,,,,,,,,,,,,
74,Osoby prywatnej,Motocykle,Yamaha,XT,2005,17 000 km,660 cm3,48 KM,,,Benzyna,,Enduro,Szary,,,,,Tak,Używane,16900,DX6976,Tak,,07/06/2005,,Tak,,,,,,,,,,,,
75,Osoby prywatnej,Motocykle,Hyosung,GV,2019,4 120 km,124 cm3,14 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Zielony,,,,Hiszpania,Tak,Używane,15800,GA507N,Tak,Metalik,01/01/2019,,,,,Tak,,,,,,,,,
76,Osoby prywatnej,Motocykle,Yamaha,XJ,1999,45 230 km,599 cm3,61 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Bordowy,,,,,,Używane,4550,RDE C11P,Tak,,06/05/1999,,,,,,,,,,,,,,
77,Osoby prywatnej,Motocykle,Yamaha,MT,2014,52 000 km,847 cm3,114 KM,Łańcuch,,Benzyna,Manualna,Naked,Bordowy,,,,Polska,Tak,Używane,25000,SPS JP94,Tak,Metalik,31/01/2014,,,,,,,,,,,,,,
78,Osoby prywatnej,Motocykle,Yamaha,MT,2019,4 105 km,689 cm3,75 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Szary,,,,Polska,Tak,Używane,26900,RZE C21N,Tak,Matowy,28/03/2019,,,,,,,,,,,,,,
79,Osoby prywatnej,Motocykle,Husqvarna,TE,2007,20 000 km,450 cm3,16 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Biały,,,,,,Używane,11900,Pwr16f6,Tak,Matowy,02/01/2008,,,,,,,,,,,,,,
80,Osoby prywatnej,Motocykle,Honda,CBR,2005,43 000 km,599 cm3,120 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czerwony,,,,,,Używane,14000,,,Metalik,,,,,,,,,,,,,,,
81,Osoby prywatnej,Motocykle,MV AGUSTA,Brutale,2018,3 300 km,798 cm3,120 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czerwony,,,,,Tak,Używane,39900,BIA8FU3,Tak,Perłowy,,Tak,,,,,,,,,,,,,
82,Osoby prywatnej,Motocykle,BMW,K,2017,31 567 km,1 649 cm3,160 KM,Wał kardana,Czterosuwowy,Benzyna,Półautomatyczna,Turystyczny,Niebieski,,,,Polska,Tak,Używane,75900,NOL 7U77,Tak,Perłowy,23/03/2017,Tak,Tak,,,,,,,,,,,,
83,Osoby prywatnej,Motocykle,Suzuki,Inny,1999,11 553 km,125 cm3,11 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Zielony,,,,Niemcy,Tak,Używane,2950,,,Metalik,11/08/1999,,,,,,,,,,,,,,
84,Osoby prywatnej,Motocykle,Piaggio,Hexagon,2004,11 000 km,182 cm3,19 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Biały,,,,Polska,Tak,Używane,3200,DOL 81SM,Tak,Perłowy,29/06/2006,,,,,,,,,,,,,,
85,Osoby prywatnej,Motocykle,Suzuki,DL,2007,64 000 km,645 cm3,67 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Bordowy,,,,Wielka Brytania,Tak,Używane,15500,SZO1C3,Tak,Metalik,11/07/2007,,,,,,05/09/2022,,,,,,,,
86,Osoby prywatnej,Motocykle,Can-Am,Outlander Max,2021,1 100 km,650 cm3,49 KM,Wał kardana,Czterosuwowy,Benzyna,,Quad,Szary,Tak,Tak,Tak,,Tak,Używane,49900,,Tak,Matowy,,,,,,,,,,,,,,,
87,Osoby prywatnej,Motocykle,Ducati,Diavel,2013,25 075 km,1 198 cm3,162 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,Szwajcaria,Tak,Używane,52999,,Tak,Matowy,,,,,,,,,,,,,,,
88,Osoby prywatnej,Motocykle,Kawasaki,Z,2021,2 650 km,950 cm3,125 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czerwony,,,,Polska,Tak,Używane,44300,PSR,Tak,Matowy,,Tak,Tak,,,,,,,,,,,,
89,Osoby prywatnej,Motocykle,BMW,S,2017,35 100 km,999 cm3,165 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Biały,,,,Polska,Tak,Używane,44500,OPO A18W,Tak,,15/11/2017,Tak,,,,,,,,,,,,,
90,Osoby prywatnej,Motocykle,Baotian,BT49QT,2009,12 000 km,49 cm3,,,Dwusuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,,,,Polska,Tak,Używane,2150,,Tak,,,Tak,Tak,,,,,,,,,,,,
91,Osoby prywatnej,Motocykle,Yamaha,XVS,2007,26 658 km,1 063 cm3,61 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,,Używane,25499,DTR 45RG,,Metalik,04/06/2013,,,,,,,,,,,,,,
92,Osoby prywatnej,Motocykle,Honda,Deauville,1998,57 059 km,650 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Srebrny,,,,,,Używane,6700,,,,,,,,,,,,,,,,,,
93,Osoby prywatnej,Motocykle,Yamaha,Road Star,2012,45 061 km,1 700 cm3,90 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Inny kolor,,,,Stany Zjednoczone,Tak,Używane,45000,,Tak,Perłowy,,,Tak,,,,,,,,,,,,
94,Osoby prywatnej,Motocykle,BMW,K,1985,88 100 km,1 000 cm3,90 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,Niemcy,,Używane,11499,,Tak,Perłowy,17/12/2016,,,,Tak,,,,,,,,,,
95,Osoby prywatnej,Motocykle,Honda,VTX,2007,28 600 km,1 795 cm3,96 KM,,,Benzyna,,Cruiser,Czarny,,,,Stany Zjednoczone,Tak,Używane,37900,LC866R,Tak,,01/01/2007,,Tak,,Tak,,,,,,,,,,
96,Osoby prywatnej,Motocykle,Zipp,Inny,2009,12 660 km,49 cm3,3 KM,Łańcuch,,Benzyna,Manualna,Motorower,Czarny,,,,Polska,,Używane,1550,,Tak,Metalik,,,,,,,,,,,,,,,
97,Firmy,Motocykle,CF Moto,Inny,2021,1 km,500 cm3,40 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Czerwony,Tak,Tak,,,Tak,Nowe,37889,,,,,,,,,,,,,,,,,,
98,Osoby prywatnej,Motocykle,Honda,VT,2012,27 000 km,1 300 cm3,80 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,,Używane,29900,,,,,,,,,,,,,,,,,,
99,Osoby prywatnej,Motocykle,Vespa,LX,2012,4 130 km,125 cm3,14 KM,,Czterosuwowy,Benzyna,Automatyczna,Skuter,Biały,,,,Włochy,,Używane,9400,,,,,,,,,Tak,,,,,,,,,
100,Osoby prywatnej,Motocykle,Yamaha,Virago,1994,26 600 km,535 cm3,46 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Niebieski,,,,,Tak,Używane,9500,EZD 57S3,Tak,Metalik,08/03/1994,,,,,,,,,,,,,,
101,Osoby prywatnej,Motocykle,Kawasaki,Ninja,2020,13 917 km,649 cm3,48 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,Tak,,,Francja,,Używane,25555,,,Metalik,22/09/2020,,,,,Tak,,,,,,,,,
102,Osoby prywatnej,Motocykle,Honda,GL,1988,59 704 km,1 181 cm3,94 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Bordowy,,,,,Tak,Używane,15900,,,Metalik,,,Tak,,,Tak,,,,,,,,,
103,Osoby prywatnej,Motocykle,Aprilia,Inny,2014,25 731 km,839 cm3,76 KM,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Skuter,Szary,,,,Szwajcaria,Tak,Używane,21000,WG610T,Tak,Metalik,13/06/2014,,,,,,,,,,,,,,
104,Osoby prywatnej,Motocykle,Honda,CBR,2014,18 500 km,999 cm3,178 KM,,,Benzyna,,Sportowy,Czarny,,,,,,Używane,34000,,,,,,,,,,,,,,,,,jh2sc590xek600432,
105,Osoby prywatnej,Motocykle,Yamaha,MT,2017,7 142 km,689 cm3,78 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,Polska,Tak,Używane,25300,ES2919,,Matowy,18/04/2017,Tak,,,,,,,,,,,,,
106,Osoby prywatnej,Motocykle,Suzuki,GSR,2008,20 200 km,599 cm3,100 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Niebieski,,,,,Tak,Używane,12700,Tjeep59,Tak,Metalik,14/11/2008,,,,,,,,,,,20 200 km,,,
