,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Bezwypadkowy,Stan,price,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Rodzaj koloru,Pierwsza rejestracja,Serwisowany w ASO,Pierwszy właściciel,Gwarancja dealerska (w cenie),Tuning,VAT marża,Okres gwarancji producenta,Liczba pozostałych rat,Miesięczna rata,Opłata początkowa,Wartość wykupu,lub do (przebieg km),Uszkodzony,VIN,Zarejestrowany jako zabytek
5206,Firmy,Motocykle,Barton,Inny,2021,1 km,125 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czerwony,,Tak,,,Tak,Nowe,12499,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
5207,Firmy,Motocykle,Barton,Inny,2020,1 km,,,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Krosowy,Niebieski,,Tak,,,Tak,Nowe,3699,,,,,,,,,,,,,,,,,,
5208,Firmy,Motocykle,Junak,M,2020,1 km,125 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,Tak,,,Tak,Nowe,11999,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
5209,Firmy,Motocykle,Inny,Inny,2021,1 km,250 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Biały,,Tak,,,Tak,Nowe,8999,,,Metalik,,,,,,,,,,,,,,,
5210,Firmy,Motocykle,Junak,902,2021,1 km,50 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Bordowy,,Tak,,,Tak,Nowe,6699,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
5211,Firmy,Motocykle,Kawasaki,ZZR,1992,55 000 km,1 100 cm3,140 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Inny kolor,,,,Niemcy,,Używane,3490,,Tak,Metalik,,,,,,,,,,,,,,,
5212,Firmy,Motocykle,Inny,Inny,2021,1 km,250 cm3,25 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Zielony,Tak,Tak,,,Tak,Nowe,9099,,,,,,,24 miesięcy,,,,,,,,,,,
5213,Osoby prywatnej,Motocykle,Honda,VTX,2007,27 000 km,1 312 cm3,75 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,Stany Zjednoczone,,Używane,27000,SBE,,Metalik,01/01/2007,,,,,,,,,,,,,,
5214,Firmy,Motocykle,Ducati,Scrambler,2022,1 km,1 079 cm3,86 KM,Łańcuch,,Benzyna,Manualna,Naked,Czarny,Tak,Tak,Tak,,Tak,Nowe,62900,,,,,,,48 miesięcy,,,,,,,,,,,
5215,Firmy,Motocykle,Ducati,Scrambler,2022,1 km,1 079 cm3,86 KM,Łańcuch,,Benzyna,Manualna,Naked,Żółty,Tak,Tak,Tak,,Tak,Nowe,68900,,,,,,,48 miesięcy,,,,,,,,,,,
